timeOfRun,forwardFile,ReverseFile,forwardTime,ReverseTime,forwardFileCount,ReverseFileCount,uniqueCount,mergeTime,finalCount,totalTime,droppedCount
2024-05-08 10:52:00,/Users/ethankoland/Desktop/3rd Year Project/code/data/forclean_PID-1309-GAL-LB1-PC_S93_R1_001.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/data/r2ffastq_PID-1309-GAL-LB1-PC_S93_R2_001.fastq,8.699923992156982,9.491345167160034,1270919,1286601,15682,51.772623777389526,1242540,69.96389293670654,44061
2024-05-12 19:03:00,/Users/ethankoland/Desktop/3rd Year Project/code/data/forclean_PID-1309-GAL-LB1-PC_S93_R1_001.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/data/r2ffastq_PID-1309-GAL-LB1-PC_S93_R2_001.fastq,8.658525943756104,10.243320226669312,1270919,1286601,15682,50.199548959732056,1242540,69.10139513015747,44061
2024-05-29 21:27:37,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-for.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-rev.fastq,0.009529829025268555,0.004797935485839844,95,96,1,0.026064157485961914,91,0.04039192199707031,5
2024-05-29 21:27:46,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-for.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-rev.fastq,0.005360841751098633,0.005972862243652344,95,96,1,0.025622844696044922,91,0.0369565486907959,5
2024-05-29 21:29:27,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-for.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-rev.fastq,0.006573200225830078,0.0051000118255615234,95,96,1,0.024567127227783203,91,0.036240339279174805,5
2024-05-29 21:31:23,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-for.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-rev.fastq,0.009411096572875977,0.004500150680541992,95,96,1,0.026002168655395508,91,0.03991341590881348,5
2024-05-29 21:32:38,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-for.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-rev.fastq,0.012470006942749023,0.004486799240112305,95,96,1,0.023270845413208008,91,0.040227651596069336,5
2024-05-29 21:34:42,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-for.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-rev.fastq,0.004912137985229492,0.005064964294433594,95,96,1,0.02376699447631836,91,0.033744096755981445,5
2024-05-29 21:34:51,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-for.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/testData/example-cut-rev.fastq,0.004599094390869141,0.0033321380615234375,95,96,1,0.017612934112548828,91,0.025544166564941406,5
2024-05-29 22:07:47,/Users/ethankoland/Desktop/3rd Year Project/code/data/forclean_PID-1309-GAL-LB1-PC_S93_R1_001.fastq,/Users/ethankoland/Desktop/3rd Year Project/code/data/r2ffastq_PID-1309-GAL-LB1-PC_S93_R2_001.fastq,8.776684999465942,9.387639045715332,1270919,1286601,15682,47.273406982421875,1242540,65.43773102760315,44061
